,round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,optimizer,shapes,weight_regulizer
397,50,0.34310707998546686,0.8424242424242424,0.4240884616273432,0.8153446033810143,<function elu at 0x7f1605d95158>,2,0.0,,50,8,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Adam'>,funnel,
398,150,0.32231694591993637,0.8606060672890056,0.4087866863207976,0.828348512573577,<function relu at 0x7f1605d950d0>,3,0.0,,150,16,5,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Adam'>,brick,
399,150,0.36762420531568957,0.8303030303030303,0.4666581852270372,0.8101430429128739,<function elu at 0x7f1605d95158>,1,0.0,,150,32,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Nadam'>,funnel,
400,50,0.6935124939138239,0.42424242424242425,0.6952106139594774,0.494148244473342,<function elu at 0x7f1605d95158>,1,0.0,,50,64,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.75,<class 'keras.optimizers.Nadam'>,funnel,
401,150,0.37585884453954654,0.8424242424242424,0.3286266138869723,0.8491547464239272,<function relu at 0x7f1605d950d0>,1,0.0,,150,16,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Adam'>,brick,
402,100,0.6932376532843618,0.42424242424242425,0.6945634550173974,0.48634590377113135,<function elu at 0x7f1605d95158>,2,0.0,,100,64,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Nadam'>,funnel,
403,50,0.3743068843156144,0.8515151515151516,0.45288946112253714,0.8010403120936281,<function relu at 0x7f1605d950d0>,1,0.0,,50,32,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,funnel,
404,100,9.178949172930286,0.4242424339056015,8.043752293127879,0.49544864551918716,<function relu at 0x7f1605d950d0>,3,0.0,,100,64,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,brick,
405,150,0.33660269393162295,0.8484848484848485,0.4050725820548203,0.8309492847854356,<function relu at 0x7f1605d950d0>,4,0.0,,150,64,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Adam'>,brick,
406,150,0.3613935977124845,0.8454545454545455,0.34764454265666944,0.846553966189857,<function elu at 0x7f1605d95158>,1,0.0,,150,16,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Adam'>,funnel,
